island_id,island_state,family_count,families,core_families,raw_families,edge_count,avg_meaning_similarity,max_meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,dio_semantic_island_sentence
dio_semantic_island_1,raw_semantic_island,6,dio_010h|dio_095l|dio_0g9z|dio_0xkp|dio_108f|dio_1ocs,-,dio_010h|dio_095l|dio_0g9z|dio_0xkp|dio_108f|dio_1ocs,7,0.999313,0.999762,True,False,False,False,False,False,False,False,dio_semantic_island_1: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_2,raw_semantic_island,6,dio_02rt|dio_0haj|dio_0x9y|dio_10gp|dio_1a18|dio_1qst,-,dio_02rt|dio_0haj|dio_0x9y|dio_10gp|dio_1a18|dio_1qst,7,0.999451,0.999802,True,False,False,False,False,False,False,False,dio_semantic_island_2: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_3,raw_semantic_island,6,dio_14eb|dio_151h|dio_155e|dio_1f9y|dio_1pel|dio_1wgb,-,dio_14eb|dio_151h|dio_155e|dio_1f9y|dio_1pel|dio_1wgb,6,0.999197,0.9995,True,False,False,False,False,False,False,False,dio_semantic_island_3: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_4,raw_semantic_island,5,dio_005q|dio_0zq7|dio_1fzx|dio_1j58|dio_1qd9,-,dio_005q|dio_0zq7|dio_1fzx|dio_1j58|dio_1qd9,4,0.999399,0.999752,True,False,False,False,False,False,False,False,dio_semantic_island_4: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_5,raw_semantic_island,4,dio_01w7|dio_0hl8|dio_1ee7|dio_1ubq,-,dio_01w7|dio_0hl8|dio_1ee7|dio_1ubq,3,0.999444,0.999816,True,False,False,False,False,False,False,False,dio_semantic_island_5: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_6,raw_semantic_island,4,dio_0325|dio_10qz|dio_114i|dio_1ytc,-,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,0.999532,0.999649,True,False,False,False,False,False,False,False,dio_semantic_island_6: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_7,raw_semantic_island,4,dio_07mw|dio_0icm|dio_0jcg|dio_1204,-,dio_07mw|dio_0icm|dio_0jcg|dio_1204,3,0.999386,0.999505,True,False,False,False,False,False,False,False,dio_semantic_island_7: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_8,raw_semantic_island,4,dio_09u3|dio_0qjm|dio_1im7|dio_1pbz,-,dio_09u3|dio_0qjm|dio_1im7|dio_1pbz,3,0.99931,0.999596,True,False,False,False,False,False,False,False,dio_semantic_island_8: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_9,raw_semantic_island,4,dio_0cxr|dio_0j34|dio_0ocp|dio_1reh,-,dio_0cxr|dio_0j34|dio_0ocp|dio_1reh,4,0.999402,0.999757,True,False,False,False,False,False,False,False,dio_semantic_island_9: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_10,raw_semantic_island,4,dio_0hlx|dio_0x52|dio_1jgc|dio_1lg2,-,dio_0hlx|dio_0x52|dio_1jgc|dio_1lg2,3,0.999555,0.999736,True,False,False,False,False,False,False,False,dio_semantic_island_10: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_11,raw_semantic_island,4,dio_0ink|dio_0w16|dio_0yk9|dio_0zmy,-,dio_0ink|dio_0w16|dio_0yk9|dio_0zmy,3,0.999301,0.999443,True,False,False,False,False,False,False,False,dio_semantic_island_11: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_12,raw_semantic_island,4,dio_0jg9|dio_0xyz|dio_16l1|dio_1ipn,-,dio_0jg9|dio_0xyz|dio_16l1|dio_1ipn,3,0.999219,0.999648,True,False,False,False,False,False,False,False,dio_semantic_island_12: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_13,raw_semantic_island,4,dio_0jp7|dio_0qfc|dio_19p7|dio_19x7,-,dio_0jp7|dio_0qfc|dio_19p7|dio_19x7,3,0.999259,0.999436,True,False,False,False,False,False,False,False,dio_semantic_island_13: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_14,raw_semantic_island,4,dio_0m9e|dio_140n|dio_1bi7|dio_1o2b,-,dio_0m9e|dio_140n|dio_1bi7|dio_1o2b,4,0.999475,0.999634,True,False,False,False,False,False,False,False,dio_semantic_island_14: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_15,raw_semantic_island,4,dio_0n6e|dio_1ffn|dio_1i05|dio_1knc,-,dio_0n6e|dio_1ffn|dio_1i05|dio_1knc,4,0.999428,0.999898,True,False,False,False,False,False,False,False,dio_semantic_island_15: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_16,raw_semantic_island,4,dio_0nvd|dio_0q3d|dio_12sg|dio_1gwl,-,dio_0nvd|dio_0q3d|dio_12sg|dio_1gwl,4,0.999607,0.999944,True,False,False,False,False,False,False,False,dio_semantic_island_16: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_17,raw_semantic_island,4,dio_14zz|dio_159y|dio_15u1|dio_1640,-,dio_14zz|dio_159y|dio_15u1|dio_1640,6,0.999468,0.999673,True,False,False,False,False,False,False,False,dio_semantic_island_17: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_18,raw_semantic_island,3,dio_015b|dio_0iou|dio_1575,-,dio_015b|dio_0iou|dio_1575,2,0.999372,0.999526,True,False,False,False,False,False,False,False,dio_semantic_island_18: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_19,raw_semantic_island,3,dio_049c|dio_0d83|dio_0qs0,-,dio_049c|dio_0d83|dio_0qs0,2,0.999403,0.999694,True,False,False,False,False,False,False,False,dio_semantic_island_19: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_20,raw_semantic_island,3,dio_065c|dio_07lp|dio_171c,-,dio_065c|dio_07lp|dio_171c,2,0.999179,0.999296,True,False,False,False,False,False,False,False,dio_semantic_island_20: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_21,raw_semantic_island,3,dio_09ow|dio_1mrs|dio_1wr5,-,dio_09ow|dio_1mrs|dio_1wr5,2,0.999378,0.99943,True,False,False,False,False,False,False,False,dio_semantic_island_21: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_22,raw_semantic_island,3,dio_0bde|dio_0z2v|dio_16ry,-,dio_0bde|dio_0z2v|dio_16ry,2,0.99932,0.999484,True,False,False,False,False,False,False,False,dio_semantic_island_22: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_23,raw_semantic_island,3,dio_0dos|dio_0rt8|dio_1dl4,-,dio_0dos|dio_0rt8|dio_1dl4,2,0.999401,0.999465,True,False,False,False,False,False,False,False,dio_semantic_island_23: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_24,raw_semantic_island,3,dio_0g2u|dio_0ic6|dio_1287,-,dio_0g2u|dio_0ic6|dio_1287,2,0.999094,0.999158,True,False,False,False,False,False,False,False,dio_semantic_island_24: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_25,raw_semantic_island,3,dio_0kom|dio_0zkk|dio_12x0,-,dio_0kom|dio_0zkk|dio_12x0,3,0.99955,0.9999,True,False,False,False,False,False,False,False,dio_semantic_island_25: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_26,raw_semantic_island,3,dio_0omt|dio_0u61|dio_13v0,-,dio_0omt|dio_0u61|dio_13v0,2,0.999474,0.999602,True,False,False,False,False,False,False,False,dio_semantic_island_26: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_27,raw_semantic_island,3,dio_0yco|dio_155k|dio_1mym,-,dio_0yco|dio_155k|dio_1mym,2,0.999278,0.999287,True,False,False,False,False,False,False,False,dio_semantic_island_27: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_28,raw_semantic_island,3,dio_15rg|dio_1cdk|dio_1yob,-,dio_15rg|dio_1cdk|dio_1yob,2,0.999393,0.999434,True,False,False,False,False,False,False,False,dio_semantic_island_28: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_29,raw_semantic_island,3,dio_17xf|dio_1ekr|dio_1tsz,-,dio_17xf|dio_1ekr|dio_1tsz,2,0.999253,0.9995,True,False,False,False,False,False,False,False,dio_semantic_island_29: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_30,raw_semantic_island,2,dio_005k|dio_1qnu,-,dio_005k|dio_1qnu,1,0.999352,0.999352,True,False,False,False,False,False,False,False,dio_semantic_island_30: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_31,raw_semantic_island,2,dio_0192|dio_1p8y,-,dio_0192|dio_1p8y,1,0.999917,0.999917,True,False,False,False,False,False,False,False,dio_semantic_island_31: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_32,raw_semantic_island,2,dio_03yz|dio_1q4u,-,dio_03yz|dio_1q4u,1,0.999205,0.999205,True,False,False,False,False,False,False,False,dio_semantic_island_32: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_33,raw_semantic_island,2,dio_0azl|dio_1n5f,-,dio_0azl|dio_1n5f,1,0.999851,0.999851,True,False,False,False,False,False,False,False,dio_semantic_island_33: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_34,raw_semantic_island,2,dio_0j8d|dio_1vg2,-,dio_0j8d|dio_1vg2,1,0.999298,0.999298,True,False,False,False,False,False,False,False,dio_semantic_island_34: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_35,raw_semantic_island,2,dio_0jx1|dio_1jfw,-,dio_0jx1|dio_1jfw,1,0.999829,0.999829,True,False,False,False,False,False,False,False,dio_semantic_island_35: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_36,raw_semantic_island,2,dio_0kae|dio_0r61,-,dio_0kae|dio_0r61,1,0.999542,0.999542,True,False,False,False,False,False,False,False,dio_semantic_island_36: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_37,raw_semantic_island,2,dio_0ksa|dio_0t8k,-,dio_0ksa|dio_0t8k,1,0.999527,0.999527,True,False,False,False,False,False,False,False,dio_semantic_island_37: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_38,raw_semantic_island,2,dio_0kw1|dio_0t61,-,dio_0kw1|dio_0t61,1,0.999631,0.999631,True,False,False,False,False,False,False,False,dio_semantic_island_38: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_39,raw_semantic_island,2,dio_0l06|dio_15e5,-,dio_0l06|dio_15e5,1,0.999769,0.999769,True,False,False,False,False,False,False,False,dio_semantic_island_39: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_40,raw_semantic_island,2,dio_0lf6|dio_14ai,-,dio_0lf6|dio_14ai,1,0.999576,0.999576,True,False,False,False,False,False,False,False,dio_semantic_island_40: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_41,raw_semantic_island,2,dio_0o73|dio_11ex,-,dio_0o73|dio_11ex,1,0.999378,0.999378,True,False,False,False,False,False,False,False,dio_semantic_island_41: rohe Bedeutungsinsel ohne eigene Reife.
dio_semantic_island_42,raw_semantic_island,2,dio_0q96|dio_15lu,-,dio_0q96|dio_15lu,1,0.999226,0.999226,True,False,False,False,False,False,False,False,dio_semantic_island_42: rohe Bedeutungsinsel ohne eigene Reife.
