symbol_family,maturation_state,stability_label,count,run_count,runs,reward_sum,event_reward_sum,avg_reward,avg_dominant_share,dominant_binding_state,dominant_inner_state,dominant_contact_state,dominant_action,dominant_outcome_event,dominant_sight_state,dominant_hearing_state,dominant_feeling_state,maturation_sentence,passive_only
dio_02qu,maturation_stable_carried,multisensory_stable_repeat,3,3,"156,157,158",3.0,3.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,"dio_02qu: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_teilform, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_offen; reward_sum=3.000000; Runs=156,157,158.",1
dio_0arw,maturation_stable_carried,multisensory_stable_repeat,1,1,158,1.0,1.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,"dio_0arw: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_teilform, Hoeren=hoeren_leise, Fuehlen=fuehlen_offen; reward_sum=1.000000; Runs=158.",1
dio_0x1o,maturation_stable_carried,multisensory_stable_repeat,1,1,157,1.0,1.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,"dio_0x1o: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_inkoharent; reward_sum=1.000000; Runs=157.",1
dio_1vpi,maturation_stable_carried,multisensory_stable_repeat,3,3,"156,157,158",3.0,3.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,"dio_1vpi: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_gespannt; reward_sum=3.000000; Runs=156,157,158.",1
dio_16yc,maturation_mixed_recurrence,multisensory_mixed_repeat,2,2,"156,157",1.0,1.0,0.5,0.6875,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,"dio_16yc: gemischte Wiederkehr; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_inkoharent; reward_sum=1.000000; Runs=156,157.",1
dio_1txv,maturation_mixed_recurrence,multisensory_mixed_repeat,3,3,"156,157,158",1.0,1.0,0.333333,0.791667,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,"dio_1txv: gemischte Wiederkehr; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_ruhig; reward_sum=1.000000; Runs=156,157,158.",1
dio_0igh,maturation_quiet_observation,multisensory_stable_repeat,1,1,156,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,"dio_0igh: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_gespannt; Runs=156.",1
dio_143d,maturation_quiet_observation,multisensory_stable_repeat,1,1,156,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,"dio_143d: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_leise, Fuehlen=fuehlen_koharent_gespannt; Runs=156.",1
dio_14xc,maturation_quiet_observation,multisensory_stable_repeat,1,1,158,0.0,0.0,0.0,1.0,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,"dio_14xc: stabile ruhige Beobachtung; multisensory_quiet_hold; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_leise, Fuehlen=fuehlen_koharent_gespannt; Runs=158.",1
dio_1g2t,maturation_quiet_observation,multisensory_stable_repeat,1,1,156,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_helle_spannung,fuehlen_hohe_spannung,"dio_1g2t: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_teilform, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=156.",1
dio_1qwp,maturation_quiet_observation,multisensory_stable_repeat,1,1,156,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,"dio_1qwp: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_gespannt; Runs=156.",1
dio_0fiy,maturation_negative_open,multisensory_stable_repeat,1,1,156,-1.0,-1.0,-1.0,1.0,multisensory_burdened_memory,inner_consequence_burdened,real_contact_burdened,LONG,SL,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,dio_0fiy: negative offene Reifespur; multisensory_burdened_memory; reward_sum=-1.000000; Runs=156.,1
