symbol_family,action,outcome_event,inner_state,event_count,event_reward_sum,memory_action_count,memory_reward_sum,memory_trust,memory_caution,memory_trust_minus_caution,consequence_effect,inner_sentence,passive_only
dio_0cgn,SHORT,TP,inner_consequence_carried,1,1.0,3,2.1,0.212653,0.0,0.212653,tp_trust_visible,dio_0cgn: SHORT wurde durch TP getragen; innen entsteht Vertrauen (0.212653) bei Vorsicht 0.000000.,1
dio_1k0r,LONG,SL,inner_consequence_conflicted,3,-3.0,8,3.619979,0.426211,0.363944,0.062267,sl_caution_visible_but_not_dominant,"dio_1k0r: LONG wurde durch SL belastet, aber alte Erfahrung traegt noch; innen bleibt Widerspruch trust=0.426211, caution=0.363944.",1
dio_04zi,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_04zi: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_06bd,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_06bd: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0cgn,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0cgn: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0fa9,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0fa9: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0ojr,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0ojr: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0rb2,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0rb2: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_0ui9,WAIT,NO_TRADE,inner_consequence_quiet,2,0.0,2,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0ui9: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (2 Ereignisse).,1
dio_0vc8,WAIT,NO_TRADE,inner_consequence_quiet,1,0.0,1,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_0vc8: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (1 Ereignisse).,1
dio_1g7l,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1g7l: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1jo7,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1jo7: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1q9b,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1q9b: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1qig,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1qig: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1t73,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1t73: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
dio_1w4m,WAIT,NO_TRADE,inner_consequence_quiet,3,0.0,3,0.0,0.0,0.0,0.0,no_trade_or_observation,dio_1w4m: keine reale Handlung; innen bleibt die Familie ruhig beobachtet (3 Ereignisse).,1
